OrganizationID;Title
1;Административный департамент
1;Договорной отдел
1;Общий отдел
1;Отдел закупок
1;Отдел протокольного сопровождения
1;Управление административно-хозяйственной деятельности
1;Отдел ИТ
1;Управление безопасности
1;Управление по обеспечению безопасности
2;Академия Умные дороги
2;Отдел сетевых программ
2;Проектно-аналитический отдел
2;Учебно-организационный отдел
4;Департамент коммуникаций
4;Управление по PR-проектам
4;Отдел по организации и сопровождению мероприятий
4;Отдел по работе с корпорациями
4;Управление Пресс-службы
4;Отдел по работе со СМИ
4;Отдел цифровых коммуникаций
5;Департамент маркетинга и партнерских отношений
5;Управление маркетинга
5;Лицензионный отдел
5;Управление по развитию бизнеса
5;Отдел по  привлечению новых клиентов
5;Отдел по организации мероприятий
5;Управление по развитию партнерских отношений
9;Аналитический отдел
9;Отдел проектного управления
11;Управление бухгалтерского и налогового учета
11;Управление казначейства
11;Операционный отдел
11;Финансово-экономический департамент
11;Финансово-экономическое управление
12;Управление нормативного обеспечения и договорной работы
12;Юридический департамент
